Tweet,Sentiment,Timestamp
"New 🎥

Dylan O'Brien was asked by Reece Feldman if he's Team Conrad or Team Jeremiah from ""The Summer I Turned Pretty"" during the ""Twinless"" press day with James Sweeney.

🎥©: guywithamoviecamera on Instagram https://t.co/qbHDJwYmME",Positive,2025-08-24T23:28:26.000Z
Just learning one of the guys she’s torn between in The Summer I Turned Pretty is a bi guy who cheats on her with dudes….GIRL GET UP,Positive,2025-08-24T23:23:32.000Z
should i watch the summer i turned pretty?,Positive,2025-08-24T23:21:28.000Z
he's like a main character on the summer i turned pretty in the way that's he the most basic white guy ever. i've seen like three frat guys that look exactly like him https://t.co/OCea4853G7,Positive,2025-08-24T23:21:10.000Z
me dieron ganas de ver the summer i turned pretty por STEVEN,Positive,2025-08-24T23:20:27.000Z
he looks like an extra on the summer i turned pretty https://t.co/r2b6LJv9j4,Positive,2025-08-24T23:17:17.000Z
I keep muting the summer I turned pretty content and it keeps showing up everywhere. The stupidest show premise and is incestous?? How you fking around with literal brothers bro wtf yuck.,Negative,2025-08-24T23:16:31.000Z
u guys forgetting that the only real and true enemy and culprit in the summer i turned pretty is jeremiah,Positive,2025-08-24T23:15:24.000Z
"📹: The Summer I turned pretty 
🎶 DREAM - LISA 

🔗https://t.co/rDl6Ie1isQ

 #LISAxDREAM https://t.co/dvd1y9UbdX",Positive,2025-08-24T23:08:05.000Z
what does dylan o’brien know about the summer i turned pretty https://t.co/hfkKhmXv39,Positive,2025-08-24T23:04:23.000Z
"just finished the summer i turned pretty season 1, conrad is sooo attractive",Positive,2025-08-24T23:04:00.000Z
"How “The Summer I Turned Pretty ”star Gavin Casalegno survives being 'the internet's most hated boyfriend'
https://t.co/Dzl9u7YCrs",Negative,2025-08-24T23:00:45.000Z
Omg I keep getting spoilers for the summer I turned pretty but I don't want to watch the 3rd season before it ends!!!!,Positive,2025-08-24T23:00:11.000Z
DYLAN O’BRIEN X THE SUMMER I TURNED PRETTY https://t.co/tfeMFo1tzS,Positive,2025-08-24T23:00:04.000Z
propaganda i’m about to fall for: watching the summer I turned pretty 🤭,Positive,2025-08-24T22:56:30.000Z
was not aware i knew this many people who watched the summer i turned pretty. where did you all come from,Positive,2025-08-24T22:56:10.000Z
I opened this thread expecting it to be about some problematic take on real life events so imagine my surprise when I found out it’s about a ship from the summer I turned pretty https://t.co/L0pp1MjqmR,Positive,2025-08-24T22:53:11.000Z
tuning into the summer i turned pretty rn and im actually in such shock,Positive,2025-08-24T22:52:16.000Z
"'The Summer I Turned Pretty' star Gavin Casalegno opens up about playing one of the internet's most hated boyfriends, Jeremiah Fisher: 'It's pretty comical.' https://t.co/XqCS6FAZ26",Positive,2025-08-24T22:51:46.000Z
my sister put on “the summer i turned pretty” and it’s so cringe 😭 but also hilarious bc now that i’m 30 i obvs vibe with the moms more than the teens. laurel &amp; susannah supremacy ✨,Positive,2025-08-24T22:50:33.000Z
